gender,count,char,position,pinyin
m,240,宽,1,kuan
m,238,合,1,he
m,238,湘,1,xiang
m,238,现,1,xian
m,237,麟,1,lin
m,233,师,1,shi
m,232,井,1,jing
m,231,鸣,1,ming
m,227,申,1,shen
m,226,官,1,guan
m,226,野,1,ye
m,226,普,1,pu
m,225,翼,1,yi
m,224,焱,1,yan
m,223,翰,1,han
m,223,叶,1,ye
m,222,田,1,tian
m,221,楚,1,chu
m,220,韶,1,shao
m,219,柱,1,zhu
m,219,步,1,bu
m,218,在,1,zai
m,217,关,1,guan
m,214,勋,1,xun
m,213,岗,1,gang
m,213,挺,1,ting
m,213,复,1,fu
m,212,知,1,zhi
m,211,梁,1,liang
m,210,洲,1,zhou
m,210,赞,1,zan
m,209,尔,1,er
m,208,澄,1,cheng
m,207,钊,1,zhao
m,205,佐,1,zuo
m,204,敦,1,dun
m,204,留,1,liu
m,203,甲,1,jia
m,201,烈,1,lie
m,199,韬,1,tao
m,199,印,1,yin
m,198,逢,1,feng
m,197,晟,1,cheng
m,197,于,1,yu
m,196,臣,1,chen
m,196,巨,1,ju
m,196,泓,1,hong
m,195,浪,1,lang
m,193,巍,1,wei
m,192,丁,1,ding
m,190,镜,1,jing
m,189,炯,1,jiong
m,188,毓,1,yu
m,187,衡,1,heng
m,184,戈,1,ge
m,184,训,1,xun
m,183,典,1,dian
m,183,瀚,1,han
m,181,梦,1,meng
m,180,放,1,fang
m,180,玄,1,xuan
m,179,标,1,biao
m,179,禄,1,lu
m,178,选,1,xuan
m,175,千,1,qian
m,174,舜,1,shun
m,173,争,1,zheng
m,173,越,1,yue
m,172,细,1,xi
m,171,甫,1,fu
m,171,则,1,ze
m,168,见,1,jian
m,165,斯,1,si
m,165,儒,1,ru
m,162,琨,1,kun
m,162,祺,1,qi
m,162,键,1,jian
m,162,李,1,li
m,161,淳,1,chun
m,161,堂,1,tang
m,161,朗,1,lang
m,160,臻,1,zhen
m,158,魁,1,kui
m,158,雁,1,yan
m,157,麒,1,qi
m,157,孔,1,kong
m,156,颂,1,song
m,154,嵩,1,song
m,154,年,1,nian
m,154,欣,1,xin
m,153,里,1,li
m,153,财,1,cai
m,152,深,1,shen
m,152,鉴,1,jian
m,150,肇,1,zhao
m,149,实,1,shi
m,149,季,1,ji
m,147,涌,1,yong
m,147,闯,1,chuang
m,146,苏,1,su
m,145,静,1,jing
m,145,芳,1,fang
m,145,刘,1,liu
m,143,灵,1,ling
m,143,张,1,zhang
m,142,积,1,ji
m,139,潮,1,chao
m,139,辰,1,chen
m,137,驰,1,chi
m,137,介,1,jie
m,135,策,1,ce
m,134,楷,1,kai
m,133,陈,1,chen
m,132,际,1,ji
m,131,慎,1,shen
m,130,迅,1,xun
m,130,侃,1,kan
m,129,煌,1,huang
m,129,昱,1,yu
m,128,特,1,te
m,128,昂,1,ang
m,128,竹,1,zhu
m,128,端,1,duan
m,127,映,1,ying
m,126,睿,1,rui
m,125,创,1,chuang
m,125,上,1,shang
m,125,易,1,yi
m,124,玺,1,xi
m,124,俭,1,jian
m,124,革,1,ge
m,124,习,1,xi
m,123,骁,1,xiao
m,123,稳,1,wen
m,122,耿,1,geng
m,121,滔,1,tao
m,121,贻,1,yi
m,121,屹,1,yi
m,121,更,1,geng
m,120,湖,1,hu
m,120,旗,1,qi
m,118,勃,1,bo
m,118,举,1,ju
m,118,尊,1,zun
m,117,骥,1,ji
m,116,真,1,zhen
m,114,冀,1,ji
m,114,颖,1,ying
m,113,钰,1,yu
m,113,佩,1,pei
m,113,怡,1,yi
m,111,彭,1,peng
m,111,池,1,chi
m,111,悦,1,yue
m,108,灏,1,hao
m,108,碧,1,bi
m,108,坡,1,po
m,108,聪,1,cong
m,108,兰,1,lan
m,107,铎,1,duo
m,106,植,1,zhi
m,106,干,1,gan
m,105,都,1,dou
m,105,丕,1,pi
m,104,湛,1,zhan
m,104,呈,1,cheng
m,103,昶,1,chang
m,103,垒,1,lei
m,103,校,1,xiao
m,102,拓,1,tuo
m,102,居,1,ju
m,102,幼,1,you
m,101,贞,1,zhen
m,100,炼,1,lian
m,100,宸,1,chen
m,100,肖,1,xiao
m,99,豹,1,bao
m,99,惟,1,wei
m,99,王,1,wang
m,98,胤,1,yin
m,98,拥,1,yong
m,97,竟,1,jing
m,97,五,1,wu
m,96,焰,1,yan
m,95,纲,1,gang
m,95,棋,1,qi
m,95,霆,1,ting
m,95,罡,1,gang
m,95,叔,1,shu
m,94,好,1,hao
m,93,州,1,zhou
m,93,至,1,zhi
m,93,多,1,duo
m,93,亨,1,heng
m,92,炫,1,xuan
m,92,朴,1,pu
m,92,精,1,jing
m,92,土,1,tu
m,91,熠,1,yi
m,91,禹,1,yu
m,90,纬,1,wei
